anio	comuna	codigo_comuna	region	id_region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v1_cat	v3	v3_cat	v2	v2_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	Los Vilos	04203	Coquimbo	4	24170	0.559	0.209	0.522	135	MEDIO ALTO	0.558	MEDIO ALTO	0.47	MEDIO BAJO	0.538	MEDIO ALTO	0.553	0.706	0.674	0.36
2024	Salamanca	04204	Coquimbo	4	29743	0.649	0.14	0.442	256	BAJO	0.399	BAJO	0.562	MEDIO ALTO	0.366	BAJO	0.155	0.19	0.08	0.75
2024	Ovalle	04301	Coquimbo	4	123724	0.597	0.18	0.521	136	MEDIO ALTO	0.513	MEDIO ALTO	0.508	MEDIO ALTO	0.544	MEDIO ALTO	0.55	0.576	0.677	0.507
2024	Combarbalá	04302	Coquimbo	4	13870	0.561	0.224	0.511	150	MEDIO ALTO	0.422	MEDIO BAJO	0.61	ALTO	0.501	MEDIO ALTO	0.513	0.279	0.552	0.909
2024	Monte Patria	04303	Coquimbo	4	32657	0.533	0.232	0.491	177	MEDIO BAJO	0.388	BAJO	0.503	MEDIO BAJO	0.584	ALTO	0.413	0.147	0.799	0.487
2024	Punitaqui	04304	Coquimbo	4	12438	0.571	0.268	0.483	187	MEDIO BAJO	0.401	BAJO	0.518	MEDIO ALTO	0.531	MEDIO ALTO	0.38	0.201	0.648	0.575
2024	Río Hurtado	04305	Coquimbo	4	4326	0.596	0.228	NA	NA	NA	0.346	BAJO	NA	NA	0.504	MEDIO ALTO	NA	0.011	0.558	NA
2024	Valparaíso	05101	Valparaíso	5	319745	0.625	0.191	0.616	10	ALTO	0.628	ALTO	0.452	MEDIO BAJO	0.769	ALTO	0.97	0.895	0.997	0.273
2024	Casablanca	05102	Valparaíso	5	30212	0.625	0.196	0.561	65	ALTO	0.521	MEDIO ALTO	0.42	BAJO	0.743	ALTO	0.79	0.608	0.988	0.178
2024	Concón	05103	Valparaíso	5	47642	0.769	0.134	0.622	9	ALTO	0.791	ALTO	0.548	MEDIO ALTO	0.528	MEDIO ALTO	0.977	0.997	0.645	0.682
