Comuna	Código Comuna	Región	Habitantes	Índice de desarrollo humano	índice pobreza multidimensional	Valor Índice de inclusión digital	Categoría Índice de inclusión digital	Valor sub indicador 1_Acceso	Categoría sub indicador 1_Acceso	Valor sub indicador 2_Político	Categoría sub indicador 2_Político	Valor sub indicador 3_Educativo	Categoría sub indicador 3_Educativo	Valor Índice de inclusión digital	Valor sub indicador 1_Acceso	Valor sub indicador 2_Político	Valor sub indicador 3_Educativo
Los Vilos	04203	Coquimbo	24.170	0,559	0,209	0,522	Medio Alto	0,558	Medio Alto	0,538	Medio Alto	0,47	Medio bajo	0,522096446	0,557698028	0,538465020	0,470126291
Cochrane	11301	Aysén	3.731	0,657	0,143	0,46	Medio bajo	0,553	Medio Alto	0,403	Bajo	0,423	Bajo	0,459789757	0,553109924	0,403221454	0,423037893
Ovalle	04301	Coquimbo	123.724	0,597	0,18	0,521	Medio Alto	0,513	Medio Alto	0,544	Medio Alto	0,508	Medio Alto	0,521469590	0,513088573	0,543768689	0,507551509
Marchihue	06204	O'Higgins	7.699	0,558	0,167	0,374	Bajo	0,391	Bajo	0,382	Bajo	0,349	Bajo	0,374059026	0,390711819	0,382006777	0,349458483
Negrete	08307	Biobío	10.539	0,572	0,148	0,461	Medio bajo	0,4	Bajo	0,456	Medio bajo	0,527	Medio Alto	0,461156581	0,400118093	0,456258146	0,527093504
Río Hurtado	04305	Coquimbo	4.326	0,596	0,228			0,346	Bajo	0,504	Medio Alto				0,345530328	0,503991170	
Corral	14102	Los Ríos	5.432	0,507	0,232	0,375	Bajo	0,412	Bajo	0,464	Medio bajo	0,249	Bajo	0,375246223	0,412402968	0,464213650	0,249122052
Vicuña	04106	Coquimbo	30.370	0,581	0,195	0,541	Medio Alto	0,433	Medio bajo	0,546	Medio Alto	0,644	Alto	0,541265285	0,433314686	0,546420523	0,644060645
Algarrobo	05602	Valparaíso	15.886	0,624	0,196	0,597	Alto	0,811	Alto	0,573	Alto	0,408	Bajo	0,597369928	0,810770203	0,572938870	0,408400711
Ninhue	16204	Ñuble	5.370	0,436	0,214	0,464	Medio bajo	0,396	Bajo	0,422	Bajo	0,574	Alto	0,463927344	0,396450205	0,421784296	0,573547530
Calera	05502	Valparaíso	53.855	0,595	0,167	0,562	Alto	0,605	Alto	0,528	Medio Alto	0,552	Medio Alto	0,561623610	0,605406543	0,527857681	0,551606604
Calle Larga	05302	Valparaíso	17.388	0,641	0,145	0,564	Alto	0,526	Medio Alto	0,557	Medio Alto	0,608	Alto	0,563702952	0,526173147	0,557027862	0,607907848
Cartagena	05603	Valparaíso	26.652	0,515	0,284	0,572	Alto	0,6	Alto	0,655	Alto	0,462	Medio bajo	0,572475798	0,600403734	0,655145743	0,461877919
Casablanca	05102	Valparaíso	30.212	0,625	0,196	0,561	Alto	0,521	Medio Alto	0,743	Alto	0,42	Bajo	0,561282570	0,520708768	0,742656285	0,420482656
Putaendo	05705	Valparaíso	17.945	0,552	0,232	0,512	Medio Alto	0,488	Medio bajo	0,43	Medio bajo	0,618	Alto	0,512034488	0,487884474	0,429739800	0,618479189
Concón	05103	Valparaíso	47.642	0,769	0,134	0,622	Alto	0,791	Alto	0,528	Medio Alto	0,548	Medio Alto	0,622287142	0,791330668	0,527857681	0,547673077
El Quisco	05604	Valparaíso	18.593	0,549	0,117	0,556	Alto	0,727	Alto	0,645	Alto	0,296	Bajo	0,556109287	0,727417673	0,644538404	0,296371783
El Tabo	05605	Valparaíso	15.006	0,539	0,207	0,604	Alto	0,736	Alto	0,645	Alto	0,43	Bajo	0,603561749	0,736049756	0,644538404	0,430097085
Alhué	13502	Metropolitana	7.756	0,6	0,291	0,464	Medio bajo	0,547	Medio Alto	0,43	Medio bajo	0,416	Bajo	0,464373501	0,546997497	0,429739800	0,416383205
Chaitén	10401	Los Lagos	5.061	0,602	0,247	0,383	Bajo	0,46	Medio bajo	0,366	Bajo	0,322	Bajo	0,382759016	0,460070634	0,366095769	0,322110646
Limache	05802	Valparaíso	51.289	0,623	0,176	0,513	Medio Alto	0,628	Alto	0,446	Medio bajo	0,465	Medio bajo	0,512936099	0,627659271	0,445650808	0,465498220
Catemu	05702	Valparaíso	15.600	0,568	0,185	0,515	Medio Alto	0,452	Medio bajo	0,43	Medio bajo	0,664	Alto	0,515305603	0,451945719	0,429739800	0,664231289
Bulnes	16102	Ñuble	22.732	0,548	0,101	0,468	Medio bajo	0,495	Medio Alto	0,393	Bajo	0,515	Medio Alto	0,467583991	0,494827990	0,392614116	0,515309866
Llaillay	05703	Valparaíso	27.119	0,629	0,155	0,53	Medio Alto	0,493	Medio Alto	0,52	Medio Alto	0,576	Alto	0,529512316	0,492698874	0,519902177	0,575935897
Quintero	05107	Valparaíso	38.040	0,605	0,234	0,535	Medio Alto	0,578	Alto	0,554	Medio Alto	0,474	Medio bajo	0,535426877	0,578283912	0,554376027	0,473620692
Los Andes	05301	Valparaíso	68.788	0,675	0,152	0,594	Alto	0,656	Alto	0,607	Alto	0,519	Medio Alto	0,593959961	0,655899518	0,607412720	0,518567647
Codegua	06102	O'Higgins	14.504	0,615	0,182	0,469	Medio bajo	0,443	Medio bajo	0,464	Medio bajo	0,498	Medio bajo	0,468575671	0,443402428	0,464213650	0,498110934
Freirina	03303	Atacama	7.810	0,604	0,286	0,39	Bajo	0,361	Bajo	0,385	Bajo	0,423	Bajo	0,389516480	0,361316173	0,384658612	0,422574657
Puerto Octay	10302	Los Lagos	9.089	0,512	0,307	0,391	Bajo	0,409	Bajo	0,366	Bajo	0,398	Bajo	0,391257127	0,409344281	0,366095769	0,398331332
María Elena	02302	Antofagasta	6.592	0,702	0,152	0,394	Bajo	0,376	Bajo	0,366	Bajo	0,441	Bajo	0,394191404	0,375882819	0,366095769	0,440595623
Empedrado	07104	Maule	4.185	0,453	0,181	0,394	Bajo	0,341	Bajo	0,385	Bajo	0,456	Medio bajo	0,393579324	0,340568603	0,384658612	0,455510756
Puchuncaví	05105	Valparaíso	20.959	0,606	0,316	0,544	Medio Alto	0,694	Alto	0,523	Medio Alto	0,416	Bajo	0,544265943	0,693756524	0,522554012	0,416487294
Villa Alemana	05804	Valparaíso	145.490	0,67	0,15	0,545	Medio Alto	0,656	Alto	0,599	Alto	0,38	Bajo	0,544959933	0,655846636	0,599457216	0,379575947
Quillota	05501	Valparaíso	100.196	0,626	0,155	0,571	Alto	0,62	Alto	0,645	Alto	0,447	Medio bajo	0,570776648	0,620366829	0,644538404	0,447424711
Quilpué	05801	Valparaíso	172.073	0,675	0,16	0,594	Alto	0,684	Alto	0,716	Alto	0,381	Bajo	0,593865198	0,684166342	0,716137939	0,381291314
San Felipe	05701	Valparaíso	86.062	0,632	0,172	0,552	Medio Alto	0,578	Alto	0,61	Alto	0,467	Medio bajo	0,551517588	0,577749752	0,610064554	0,466738458
Teno	07308	Maule	31.639	0,545	0,187	0,47	Medio bajo	0,418	Medio bajo	0,438	Medio bajo	0,556	Medio Alto	0,470341833	0,417576021	0,437695304	0,555754174
Yumbel	08313	Biobío	22.194	0,539	0,161	0,47	Medio bajo	0,489	Medio bajo	0,456	Medio bajo	0,466	Medio bajo	0,470337982	0,489213597	0,456258146	0,465542202
Lonquimay	09205	La Araucanía	11.101	0,424	0,32	0,47	Medio bajo	0,357	Bajo	0,448	Medio bajo	0,603	Alto	0,469624815	0,357147161	0,448302643	0,603424641
