Comuna	Código Comuna	Región	Habitantes	Índice de desarrollo humano	índice pobreza multidimensional	Valor Índice de inclusión digital	Categoría Índice de inclusión digital	Valor sub indicador 1_Acceso	Categoría sub indicador 1_Acceso	Valor sub indicador 2_Político	Categoría sub indicador 2_Político	Valor sub indicador 3_Educativo	Categoría sub indicador 3_Educativo	Valor Índice de inclusión digital	Valor sub indicador 1_Acceso	Valor sub indicador 2_Político	Valor sub indicador 3_Educativo
Quirihue	16201	Ñuble	12.234	0,554	0,189	0,43	Bajo	0,426	Medio bajo	0,292	Bajo	0,572	Alto	0,429888641	0,425703998	0,291844400	0,572117525
Laja	08304	Biobío	23.913	0,616	0,163	0,479	Medio bajo	0,526	Medio Alto	0,438	Medio bajo	0,474	Medio bajo	0,479020211	0,525725707	0,437695304	0,473639623
Maullín	10108	Los Lagos	14.775	0,495	0,302	0,479	Medio bajo	0,41	Bajo	0,671	Alto	0,355	Bajo	0,478867105	0,410082321	0,671056750	0,355462243
Yungay	16109	Ñuble	18.784	0,569	0,128	0,43	Bajo	0,504	Medio Alto	0,459	Medio bajo	0,326	Bajo	0,429506869	0,503703738	0,458909981	0,325906888
Olmué	05803	Valparaíso	20.013	0,6	0,261	0,431	Bajo	0,546	Medio Alto	0,355	Bajo	0,392	Bajo	0,431102484	0,546239340	0,355488431	0,391579679
Pinto	16106	Ñuble	12.110	0,521	0,225	0,532	Medio Alto	0,486	Medio bajo	0,483	Medio bajo	0,626	Alto	0,531558915	0,485925817	0,482776493	0,625974435
Portezuelo	16205	Ñuble	4.891	0,444	0,208			0,386	Bajo	0,448	Medio bajo				0,386433109	0,448302643	
Calera de Tango	13403	Metropolitana	29.880	0,699	0,186	0,479	Medio bajo	0,465	Medio bajo	0,419	Bajo	0,553	Medio Alto	0,479078070	0,464713777	0,419132462	0,553387971
Fresia	10104	Los Lagos	12.593	0,497	0,286	0,431	Bajo	0,404	Bajo	0,43	Medio bajo	0,46	Medio bajo	0,431188937	0,403847989	0,429739800	0,459979023
Ranquil	16206	Ñuble	6.290	0,578	0,155	0,528	Medio Alto	0,42	Medio bajo	0,496	Medio Alto	0,67	Alto	0,528457208	0,419756507	0,496035666	0,669579451
San Carlos	16301	Ñuble	56.886	0,549	0,151	0,545	Medio Alto	0,492	Medio bajo	0,52	Medio Alto	0,622	Alto	0,544699295	0,491770349	0,519902177	0,622425360
El Monte	13602	Metropolitana	41.711	0,594	0,23	0,435	Bajo	0,518	Medio Alto	0,374	Bajo	0,413	Bajo	0,435082316	0,518110571	0,374051273	0,413085103
Llanquihue	10107	Los Lagos	18.811	0,635	0,18	0,48	Medio bajo	0,547	Medio Alto	0,48	Medio bajo	0,412	Bajo	0,479835974	0,547127431	0,480124658	0,412255834
San Nicolás	16305	Ñuble	12.414	0,546	0,197	0,584	Alto	0,381	Bajo	0,571	Alto	0,802	Alto	0,584427403	0,380553286	0,571170980	0,801557943
Carahue	09102	La Araucanía	25.514	0,438	0,304	0,439	Bajo	0,409	Bajo	0,419	Bajo	0,489	Medio bajo	0,438824526	0,408660306	0,419132462	0,488680808
Isla de Maipo	13603	Metropolitana	41.876	0,628	0,229	0,439	Bajo	0,465	Medio bajo	0,554	Medio Alto	0,297	Bajo	0,438586837	0,464723116	0,554376027	0,296661367
Pichidegua	06113	O'Higgins	21.009	0,539	0,13	0,44	Bajo	0,419	Medio bajo	0,52	Medio Alto	0,381	Bajo	0,439801068	0,418909056	0,519902177	0,380591970
El Carmen	16104	Ñuble	12.234	0,472	0,19	0,481	Medio bajo	0,379	Bajo	0,467	Medio bajo	0,598	Alto	0,481452100	0,379115372	0,466865485	0,598375442
Pozo Almonte	01401	Tarapacá	18.452	0,617	0,25	0,482	Medio bajo	0,445	Medio bajo	0,509	Medio Alto	0,491	Medio bajo	0,481822827	0,444930543	0,509294839	0,491243100
Tucapel	08312	Biobío	15.379	0,582	0,152	0,44	Bajo	0,548	Medio Alto	0,43	Medio bajo	0,342	Bajo	0,440190404	0,548439602	0,429739800	0,342391809
Cañete	08203	Biobío	37.349	0,503	0,273	0,543	Medio Alto	0,487	Medio bajo	0,546	Medio Alto	0,596	Alto	0,543124275	0,486941115	0,546420523	0,596011188
Chiguayante	08103	Biobío	91.805	0,711	0,109	0,607	Alto	0,657	Alto	0,581	Alto	0,583	Alto	0,606918550	0,656768246	0,580894373	0,583093032
Concepción	08101	Biobío	239.443	0,719	0,115	0,627	Alto	0,7	Alto	0,642	Alto	0,539	Medio Alto	0,626989610	0,700126866	0,641886570	0,538955393
Contulmo	08204	Biobío	6.351	0,504	0,233	0,527	Medio Alto	0,515	Medio Alto	0,422	Bajo	0,645	Alto	0,527499379	0,515269522	0,421784296	0,645444318
Coronel	08102	Biobío	128.253	0,609	0,136	0,559	Alto	0,658	Alto	0,536	Medio Alto	0,484	Medio bajo	0,559203685	0,658192733	0,535813185	0,483605137
Curanilahue	08205	Biobío	33.938	0,577	0,198	0,551	Medio Alto	0,588	Alto	0,501	Medio Alto	0,565	Alto	0,551464175	0,587754469	0,501339335	0,565298720
Pemuco	16105	Ñuble	8.600	0,497	0,201	0,441	Bajo	0,427	Medio bajo	0,411	Bajo	0,484	Medio bajo	0,440779048	0,426811083	0,411176958	0,484349104
Hualpén	08112	Biobío	97.902	0,668	0,097	0,576	Alto	0,548	Medio Alto	0,599	Alto	0,581	Alto	0,576277127	0,548419539	0,599457216	0,580954626
Chimbarongo	06303	O'Higgins	38.288	0,556	0,175	0,482	Medio bajo	0,439	Medio bajo	0,438	Medio bajo	0,569	Alto	0,481900036	0,439232937	0,437695304	0,568771866
Perquenco	09113	La Araucanía	7.262	0,47	0,232	0,482	Medio bajo	0,45	Medio bajo	0,483	Medio bajo	0,511	Medio Alto	0,481518584	0,450434082	0,482776493	0,511345177
Lebu	08201	Biobío	27.146	0,54	0,264	0,528	Medio Alto	0,574	Medio Alto	0,43	Medio bajo	0,581	Alto	0,528444713	0,574096365	0,429739800	0,581497975
Los Alamos	08206	Biobío	22.856	0,519	0,195	0,539	Medio Alto	0,572	Medio Alto	0,493	Medio Alto	0,553	Medio Alto	0,539258852	0,571873555	0,493383831	0,552519171
Los Angeles	08301	Biobío	222.593	0,64	0,141	0,599	Alto	0,563	Medio Alto	0,65	Alto	0,584	Alto	0,599025199	0,563184067	0,649842073	0,584049457
Punitaqui	04304	Coquimbo	12.438	0,571	0,268	0,483	Medio bajo	0,401	Bajo	0,531	Medio Alto	0,518	Medio Alto	0,483249909	0,401331846	0,530509516	0,517908364
Mulchén	08305	Biobío	31.109	0,553	0,225	0,539	Medio Alto	0,515	Medio Alto	0,546	Medio Alto	0,556	Medio Alto	0,539271788	0,515291129	0,546420523	0,556103711
Nacimiento	08306	Biobío	28.016	0,616	0,119	0,547	Medio Alto	0,559	Medio Alto	0,509	Medio Alto	0,574	Alto	0,547385609	0,558826243	0,509294839	0,574035745
Hualaihue	10403	Los Lagos	9.579	0,561	0,262	0,484	Medio bajo	0,399	Bajo	0,448	Medio bajo	0,604	Alto	0,483605140	0,398976324	0,448302643	0,603536452
Penco	08107	Biobío	50.125	0,633	0,115	0,565	Alto	0,632	Alto	0,501	Medio Alto	0,561	Medio Alto	0,564771894	0,631665795	0,501339335	0,561310552
Quilaco	08308	Biobío	4.187	0,549	0,179			0,453	Medio bajo	0,366	Bajo				0,453176171	0,366095769	
Pica	01405	Tarapacá	6.231	0,627	0,168	0,442	Bajo	0,363	Bajo	0,414	Bajo	0,548	Medio Alto	0,441821822	0,363465653	0,413828793	0,548171021
San Pedro de la Paz	08108	Biobío	151.833	0,723	0,095	0,601	Alto	0,683	Alto	0,589	Alto	0,531	Medio Alto	0,600787226	0,682768821	0,588849877	0,530742981
San Rosendo	08310	Biobío	3.565	0,616	0,144			0,519	Medio Alto	0,385	Bajo				0,518668225	0,384658612	
Santa Bárbara	08311	Biobío	14.657	0,547	0,18	0,532	Medio Alto	0,461	Medio bajo	0,573	Alto	0,56	Medio Alto	0,531553392	0,461257740	0,572938870	0,560463566
Lo Prado	13117	Metropolitana	102.923	0,58	0,193	0,484	Medio bajo	0,571	Medio Alto	0,528	Medio Alto	0,352	Bajo	0,483843796	0,571294860	0,527857681	0,352378848
Talcahuano	08110	Biobío	158.222	0,674	0,106	0,594	Alto	0,701	Alto	0,589	Alto	0,491	Medio bajo	0,593596814	0,700768491	0,588849877	0,491172074
Salamanca	04204	Coquimbo	29.743	0,649	0,14	0,442	Bajo	0,399	Bajo	0,366	Bajo	0,562	Medio Alto	0,442439831	0,399323517	0,366095769	0,561900207
Tomé	08111	Biobío	59.069	0,608	0,153	0,572	Alto	0,627	Alto	0,517	Medio Alto	0,571	Alto	0,571863950	0,627481518	0,517250343	0,570859991
Las Cabras	06107	O'Higgins	27.520	0,537	0,165	0,444	Bajo	0,409	Bajo	0,459	Medio bajo	0,463	Medio bajo	0,443723130	0,409349903	0,458909981	0,462909504
Sagrada Familia	07307	Maule	19.692	0,562	0,166	0,485	Medio bajo	0,35	Bajo	0,411	Bajo	0,693	Alto	0,484897482	0,350400428	0,411176958	0,693115059
Angol	09201	La Araucanía	56.644	0,625	0,196	0,584	Alto	0,604	Alto	0,599	Alto	0,549	Medio Alto	0,584280039	0,603935539	0,599457216	0,549447363
Palmilla	06306	O'Higgins	13.534	0,575	0,181	0,444	Bajo	0,375	Bajo	0,385	Bajo	0,572	Alto	0,443787926	0,374869344	0,384658612	0,571835823
Panquehue	05704	Valparaíso	7.794	0,596	0,183	0,445	Bajo	0,488	Medio bajo	0,348	Bajo	0,5	Medio bajo	0,445227358	0,488004260	0,347532927	0,500144885
Collipulli	09202	La Araucanía	26.468	0,52	0,221	0,533	Medio Alto	0,498	Medio Alto	0,538	Medio Alto	0,564	Alto	0,533480566	0,498155385	0,538465020	0,563821294
Cunco	09103	La Araucanía	18.067	0,477	0,18	0,544	Medio Alto	0,472	Medio bajo	0,43	Medio bajo	0,73	Alto	0,543852316	0,472179928	0,429739800	0,729637220
Curacaví	13503	Metropolitana	37.932	0,618	0,258	0,485	Medio bajo	0,443	Medio bajo	0,501	Medio Alto	0,512	Medio Alto	0,485238713	0,442760704	0,501339335	0,511616100
Maule	07105	Maule	66.867	0,614	0,11	0,445	Bajo	0,421	Medio bajo	0,403	Bajo	0,51	Medio Alto	0,444547183	0,420597834	0,403221454	0,509822259
Ercilla	09204	La Araucanía	8.405	0,374	0,416			0,448	Medio bajo	0,44	Medio bajo				0,447922480	0,440347139	
Cabrero	08303	Biobío	31.023	0,569	0,17	0,446	Bajo	0,523	Medio Alto	0,44	Medio bajo	0,373	Bajo	0,445501000	0,522918580	0,440347139	0,373237280
San Esteban	05304	Valparaíso	21.493	0,66	0,21	0,488	Medio bajo	0,528	Medio Alto	0,493	Medio Alto	0,444	Bajo	0,488492591	0,527605896	0,493383831	0,444488045
Huasco	03304	Atacama	11.525	0,647	0,178	0,489	Medio bajo	0,381	Bajo	0,647	Alto	0,438	Bajo	0,488758891	0,380619423	0,647190239	0,438467012
Lautaro	09108	La Araucanía	41.624	0,547	0,195	0,578	Alto	0,541	Medio Alto	0,629	Alto	0,564	Alto	0,577975220	0,541172579	0,628627397	0,564125684
Loncoche	09109	La Araucanía	24.784	0,516	0,157	0,524	Medio Alto	0,528	Medio Alto	0,491	Medio Alto	0,553	Medio Alto	0,523954670	0,528430915	0,490731996	0,552701099
Santa Juana	08109	Biobío	14.870	0,558	0,193	0,489	Medio bajo	0,496	Medio Alto	0,385	Bajo	0,587	Alto	0,489134692	0,495699867	0,384658612	0,587045598
Río Negro	10305	Los Lagos	14.133	0,561	0,23	0,489	Medio bajo	0,469	Medio bajo	0,438	Medio bajo	0,56	Medio Alto	0,488758576	0,468745048	0,437695304	0,559835377
Freire	09105	La Araucanía	25.487	0,491	0,25	0,446	Bajo	0,425	Medio bajo	0,475	Medio bajo	0,437	Bajo	0,445592599	0,424872435	0,474820989	0,437084374
Rauco	07305	Maule	11.632	0,539	0,187	0,447	Bajo	0,484	Medio bajo	0,512	Medio Alto	0,346	Bajo	0,447251336	0,483891685	0,511946673	0,345915649
Monte Patria	04303	Coquimbo	32.657	0,533	0,232	0,491	Medio bajo	0,388	Bajo	0,584	Alto	0,503	Medio bajo	0,491270034	0,387704448	0,583546208	0,502559446
Padre Las Casas	09112	La Araucanía	84.619	0,531	0,198	0,512	Medio Alto	0,452	Medio bajo	0,573	Alto	0,511	Medio Alto	0,511903957	0,451856654	0,572938870	0,510916346
Nogales	05506	Valparaíso	23.621	0,618	0,151	0,491	Medio bajo	0,537	Medio Alto	0,43	Medio bajo	0,506	Medio bajo	0,490898266	0,537184670	0,429739800	0,505770327
Pitrufquén	09114	La Araucanía	26.499	0,537	0,175	0,574	Alto	0,545	Medio Alto	0,626	Alto	0,552	Medio Alto	0,574358648	0,545224949	0,625975562	0,551875433
Pucón	09115	La Araucanía	30.508	0,564	0,201	0,534	Medio Alto	0,58	Alto	0,581	Alto	0,442	Bajo	0,534369734	0,579945237	0,580894373	0,442269592
La Ligua	05401	Valparaíso	38.259	0,57	0,236	0,493	Medio bajo	0,519	Medio Alto	0,44	Medio bajo	0,518	Medio Alto	0,492614296	0,519067040	0,440347139	0,518428709
Melipeuco	09110	La Araucanía	6.309	0,44	0,176	0,447	Bajo	0,362	Bajo	0,438	Medio bajo	0,542	Medio Alto	0,447323413	0,361849309	0,437695304	0,542425627
Nueva Imperial	09111	La Araucanía	34.077	0,486	0,236	0,493	Medio bajo	0,468	Medio bajo	0,52	Medio Alto	0,492	Medio bajo	0,493494521	0,468221945	0,519902177	0,492359440
Temuco	09101	La Araucanía	308.175	0,687	0,139	0,638	Alto	0,658	Alto	0,753	Alto	0,502	Medio bajo	0,637573971	0,657838352	0,753263624	0,501619937
Teodoro Schmidt	09117	La Araucanía	15.759	0,358	0,259			0,415	Medio bajo	0,448	Medio bajo				0,415056347	0,448302643	
Peumo	06112	O'Higgins	15.018	0,586	0,108	0,448	Bajo	0,446	Medio bajo	0,366	Bajo	0,531	Medio Alto	0,447569656	0,445998459	0,366095769	0,530614739
Traiguén	09210	La Araucanía	19.287	0,537	0,211	0,552	Medio Alto	0,509	Medio Alto	0,546	Medio Alto	0,601	Alto	0,552456776	0,509499064	0,546420523	0,601450741
Victoria	09211	La Araucanía	35.541	0,577	0,193	0,546	Medio Alto	0,574	Medio Alto	0,493	Medio Alto	0,571	Alto	0,546079011	0,573562516	0,493383831	0,571290687
Caldera	03102	Atacama	19.860	0,668	0,197	0,449	Bajo	0,534	Medio Alto	0,337	Bajo	0,476	Medio bajo	0,448924233	0,533970743	0,336925589	0,475876366
Villarrica	09120	La Araucanía	60.327	0,563	0,157	0,567	Alto	0,613	Alto	0,629	Alto	0,458	Medio bajo	0,566537837	0,612507461	0,628627397	0,458478652
Litueche	06203	O'Higgins	6.909	0,533	0,278	0,45	Bajo	0,435	Medio bajo	0,395	Bajo	0,518	Medio Alto	0,449631570	0,435286056	0,395265950	0,518342704
Futrono	14202	Los Ríos	15.211	0,493	0,191	0,511	Medio Alto	0,411	Bajo	0,61	Alto	0,511	Medio Alto	0,510770761	0,410872805	0,610064554	0,511374923
La Unión	14201	Los Ríos	39.668	0,579	0,186	0,567	Alto	0,567	Medio Alto	0,546	Medio Alto	0,588	Alto	0,567304245	0,567405143	0,546420523	0,588087070
Chile Chico	11401	Aysén	5.157	0,6	0,163	0,493	Medio bajo	0,497	Medio Alto	0,403	Bajo	0,579	Alto	0,493101250	0,497085818	0,403221454	0,578996476
Lanco	14103	Los Ríos	17.957	0,53	0,156	0,542	Medio Alto	0,49	Medio bajo	0,493	Medio Alto	0,643	Alto	0,542343958	0,490299458	0,493383831	0,643348584
Lota	08106	Biobío	45.490	0,569	0,175	0,494	Medio bajo	0,617	Alto	0,337	Bajo	0,529	Medio Alto	0,494362801	0,616696135	0,336925589	0,529466681
Paihuano	04105	Coquimbo	4.705	0,572	0,151	0,451	Bajo	0,354	Bajo	0,419	Bajo	0,58	Alto	0,451154540	0,354174842	0,419132462	0,580156316
Quillón	16107	Ñuble	19.182	0,529	0,12	0,495	Medio bajo	0,497	Medio Alto	0,493	Medio Alto	0,495	Medio bajo	0,495165271	0,496916864	0,493383831	0,495195116
Hualqui	08105	Biobío	26.632	0,56	0,209	0,495	Medio bajo	0,581	Alto	0,467	Medio bajo	0,439	Bajo	0,495398212	0,580548725	0,466865485	0,438780427
Panguipulli	14108	Los Ríos	36.178	0,482	0,251	0,524	Medio Alto	0,455	Medio bajo	0,475	Medio bajo	0,643	Alto	0,524155308	0,454659613	0,474820989	0,642985323
Río Bueno	14204	Los Ríos	32.982	0,623	0,21	0,53	Medio Alto	0,514	Medio Alto	0,509	Medio Alto	0,567	Alto	0,530099339	0,513578617	0,509294839	0,567424563
Valdivia	14101	Los Ríos	180.848	0,678	0,139	0,588	Alto	0,64	Alto	0,679	Alto	0,446	Medio bajo	0,588426650	0,640299840	0,679012254	0,445967855
Ancud	10202	Los Lagos	42.516	0,586	0,23	0,538	Medio Alto	0,486	Medio bajo	0,618	Alto	0,511	Medio Alto	0,538162424	0,485956462	0,618020058	0,510510752
Pirque	13202	Metropolitana	32.412	0,697	0,194	0,451	Bajo	0,438	Medio bajo	0,554	Medio Alto	0,362	Bajo	0,451355405	0,437771257	0,554376027	0,361918931
Coelemu	16203	Ñuble	16.894	0,566	0,184	0,496	Medio bajo	0,503	Medio Alto	0,475	Medio bajo	0,512	Medio Alto	0,496454279	0,502570392	0,474820989	0,511971457
Papudo	05403	Valparaíso	6.385	0,637	0,189	0,452	Bajo	0,588	Alto	0,472	Medio bajo	0,296	Bajo	0,451849534	0,587800002	0,471610873	0,296137726
Galvarino	09106	La Araucanía	12.588	0,405	0,399	0,496	Medio bajo	0,4	Bajo	0,422	Bajo	0,665	Alto	0,495800221	0,400193487	0,421784296	0,665422879
Cochamó	10103	Los Lagos	3.960	0,497	0,227			0,403	Bajo	0,446	Medio bajo				0,403392764	0,445650808	
Romeral	07306	Maule	16.742	0,595	0,164	0,452	Bajo	0,453	Medio bajo	0,438	Medio bajo	0,466	Medio bajo	0,452291223	0,452802745	0,437695304	0,466375620
Mariquina	14106	Los Ríos	23.830	0,516	0,266	0,496	Medio bajo	0,492	Medio bajo	0,422	Bajo	0,573	Alto	0,495616610	0,491868337	0,421784296	0,573197197
Yerbas Buenas	07408	Maule	19.658	0,523	0,167	0,452	Bajo	0,385	Bajo	0,512	Medio Alto	0,459	Medio bajo	0,451979491	0,385488092	0,511946673	0,458503708
Quilleco	08309	Biobío	10.000	0,535	0,18	0,452	Bajo	0,356	Bajo	0,467	Medio bajo	0,532	Medio Alto	0,451829066	0,356387130	0,466865485	0,532234582
Futaleufú	10402	Los Lagos	2.889	0,565	0,227			0,589	Alto	0,366	Bajo				0,588917190	0,366095769	
Coltauco	06104	O'Higgins	21.936	0,566	0,164	0,497	Medio bajo	0,496	Medio Alto	0,403	Bajo	0,593	Alto	0,497362893	0,495707659	0,403221454	0,593159566
Cisnes	11202	Aysén	5.865	0,644	0,123	0,497	Medio bajo	0,584	Alto	0,366	Bajo	0,541	Medio Alto	0,497039973	0,583595585	0,366095769	0,541428564
San Antonio	05601	Valparaíso	98.169	0,602	0,142	0,498	Medio bajo	0,597	Alto	0,475	Medio bajo	0,423	Bajo	0,498141792	0,596852121	0,474820989	0,422752266
Paredones	06206	O'Higgins	6.284	0,457	0,212	0,498	Medio bajo	0,358	Bajo	0,504	Medio Alto	0,632	Alto	0,497777468	0,357709300	0,503991170	0,631631935
Osorno	10301	Los Lagos	175.670	0,635	0,142	0,599	Alto	0,621	Alto	0,655	Alto	0,522	Medio Alto	0,599494446	0,621373669	0,655145743	0,521963926
Palena	10404	Los Lagos	1.824	0,616	0,205			0,546	Medio Alto	0,411	Bajo				0,546284088	0,411176958	
Puerto Montt	10101	Los Lagos	278.255	0,652	0,155	0,594	Alto	0,603	Alto	0,698	Alto	0,482	Medio bajo	0,594318057	0,603112691	0,697575097	0,482266383
Mafil	14105	Los Ríos	7.381	0,538	0,229	0,452	Bajo	0,501	Medio Alto	0,382	Bajo	0,473	Medio bajo	0,452200603	0,501179364	0,382006777	0,473415668
Puerto Varas	10109	Los Lagos	50.669	0,729	0,14	0,583	Alto	0,631	Alto	0,645	Alto	0,474	Medio bajo	0,583092267	0,630648027	0,644538404	0,474090370
Puqueldón	10206	Los Lagos	4.191	0,494	0,242			0,375	Bajo	0,485	Medio bajo				0,374562413	0,485428327	
Purranque	10303	Los Lagos	20.998	0,544	0,258	0,536	Medio Alto	0,5	Medio Alto	0,536	Medio Alto	0,573	Alto	0,536265149	0,500438658	0,535813185	0,572543605
Puyehue	10304	Los Lagos	11.813	0,539	0,239	0,511	Medio Alto	0,451	Medio bajo	0,456	Medio bajo	0,626	Alto	0,511068489	0,451137445	0,456258146	0,625809874
Peralillo	06307	O'Higgins	12.100	0,567	0,158	0,453	Bajo	0,395	Bajo	0,403	Bajo	0,56	Medio Alto	0,452561059	0,394616506	0,403221454	0,559845217
Chanco	07202	Maule	9.278	0,513	0,228	0,453	Bajo	0,375	Bajo	0,411	Bajo	0,572	Alto	0,452900220	0,375275444	0,411176958	0,572248259
Pelluhue	07203	Maule	8.361	0,538	0,202	0,453	Bajo	0,504	Medio Alto	0,348	Bajo	0,509	Medio Alto	0,453363904	0,503791634	0,347532927	0,508767151
Lampa	13302	Metropolitana	139.266	0,648	0,256	0,498	Medio bajo	0,525	Medio Alto	0,562	Medio Alto	0,406	Bajo	0,498030921	0,525420360	0,562331531	0,406340870
Arauco	08202	Biobío	38.890	0,61	0,171	0,499	Medio bajo	0,563	Medio Alto	0,393	Bajo	0,541	Medio Alto	0,498840538	0,562726627	0,392614116	0,541180871
San Juan de la Costa	10306	Los Lagos	7.482	0,302	0,389			0,343	Bajo	0,393	Bajo				0,342886558	0,392614116	
Coihueco	16302	Ñuble	28.908	0,496	0,245	0,453	Bajo	0,386	Bajo	0,448	Medio bajo	0,524	Medio Alto	0,452700811	0,386265036	0,448302643	0,523534754
Aisén	11201	Aysén	25.180	0,658	0,128	0,563	Alto	0,576	Alto	0,565	Alto	0,547	Medio Alto	0,562803228	0,576483698	0,564983366	0,546942619
Santa Cruz	06310	O'Higgins	42.235	0,596	0,106	0,502	Medio bajo	0,515	Medio Alto	0,464	Medio bajo	0,527	Medio Alto	0,502264567	0,515448331	0,464213650	0,527131719
Los Sauces	09206	La Araucanía	7.484	0,493	0,255	0,502	Medio bajo	0,486	Medio bajo	0,427	Bajo	0,594	Alto	0,502341252	0,486067827	0,427087966	0,593867964
Quinta de Tilcoco	06114	O'Higgins	14.194	0,544	0,148	0,503	Medio bajo	0,468	Medio bajo	0,493	Medio Alto	0,549	Medio Alto	0,503289840	0,467606227	0,493383831	0,548879462
Coyhaique	11101	Aysén	61.885	0,7	0,14	0,531	Medio Alto	0,586	Alto	0,525	Medio Alto	0,482	Medio bajo	0,531200485	0,586469587	0,525205846	0,481926022
Guaitecas	11203	Aysén	1.608	0,527	0,222			0,427	Medio bajo	0,438	Medio bajo				0,427468526	0,437695304	
Lago Verde	11102	Aysén	915	0,632	0,18			0,499	Medio Alto	0,403	Bajo				0,498751833	0,403221454	
O'Higgins	11302	Aysén	672	0,664	0,121			0,549	Medio Alto	0,403	Bajo				0,548733851	0,403221454	
Río Ibáñez	11402	Aysén	2.711	0,536	0,188			0,501	Medio Alto	0,475	Medio bajo				0,500784291	0,474820989	
Tortel	11303	Aysén	582	0,581	0,123			0,367	Bajo	0,31	Bajo				0,366550579	0,310407243	
Cabo de Hornos	12201	Magallanes	1.973	0,791	0,016			0,47	Medio bajo	0,438	Medio bajo				0,469978445	0,437695304	
Laguna Blanca	12102	Magallanes	252	0,733	0,004			0,415	Medio bajo	0,411	Bajo				0,414843690	0,411176958	
Natales	12401	Magallanes	24.447	0,65	0,046	0,527	Medio Alto	0,672	Alto	0,52	Medio Alto	0,388	Bajo	0,526511096	0,671860291	0,519902177	0,387770819
Porvenir	12301	Magallanes	7.570	0,734	0,124	0,538	Medio Alto	0,585	Alto	0,493	Medio Alto	0,537	Medio Alto	0,538224027	0,584607982	0,493383831	0,536680268
Primavera	12302	Magallanes	679	0,743	0,08			0,373	Bajo	0,366	Bajo				0,372522053	0,366095769	
Punta Arenas	12101	Magallanes	144.938	0,711	0,071	0,615	Alto	0,648	Alto	0,671	Alto	0,526	Medio Alto	0,615105224	0,648333961	0,671056750	0,525924961
Río Verde	12103	Magallanes	205		0,001			0,342	Bajo	0,385	Bajo				0,342344262	0,384658612	
San Gregorio	12104	Magallanes	658	0,637	0,094			0,382	Bajo	0,459	Medio bajo				0,382468459	0,458909981	
Timaukel	12303	Magallanes	278		0,034			0,437	Medio bajo	0,385	Bajo				0,436704658	0,384658612	
Torres del Paine	12402	Magallanes	1.069		0,033			0,417	Medio bajo	0,501	Medio Alto				0,416886362	0,501339335	
Illapel	04201	Coquimbo	32.987	0,634	0,17	0,505	Medio bajo	0,48	Medio bajo	0,472	Medio bajo	0,564	Alto	0,505411149	0,480224004	0,472169154	0,563840289
Buin	13402	Metropolitana	116.032	0,655	0,191	0,534	Medio Alto	0,549	Medio Alto	0,629	Alto	0,425	Bajo	0,534420973	0,549322908	0,628627397	0,425312613
San Vicente	06117	O'Higgins	51.910	0,595	0,171	0,505	Medio bajo	0,478	Medio bajo	0,599	Alto	0,438	Bajo	0,504982963	0,477802440	0,599457216	0,437689233
Cerrillos	13102	Metropolitana	90.060	0,633	0,226	0,538	Medio Alto	0,608	Alto	0,554	Medio Alto	0,453	Medio bajo	0,538444904	0,607876632	0,554376027	0,453082053
Cerro Navia	13103	Metropolitana	140.581	0,521	0,23	0,546	Medio Alto	0,552	Medio Alto	0,573	Alto	0,513	Medio Alto	0,545998192	0,551788266	0,572938870	0,513267440
Colina	13301	Metropolitana	193.594	0,745	0,246	0,581	Alto	0,544	Medio Alto	0,698	Alto	0,501	Medio bajo	0,580777682	0,544206263	0,697575097	0,500551688
Antuco	08302	Biobío	4.322	0,561	0,136	0,507	Medio bajo	0,358	Bajo	0,448	Medio bajo	0,714	Alto	0,506672707	0,358136355	0,448302643	0,713579123
Gorbea	09107	La Araucanía	15.098	0,524	0,198	0,508	Medio bajo	0,457	Medio bajo	0,576	Alto	0,493	Medio bajo	0,508493804	0,456852016	0,575590704	0,493038693
El Bosque	13105	Metropolitana	170.536	0,572	0,175	0,56	Alto	0,582	Alto	0,615	Alto	0,481	Medio bajo	0,559590376	0,582236145	0,615368223	0,481166759
Frutillar	10105	Los Lagos	20.678	0,592	0,203	0,453	Bajo	0,558	Medio Alto	0,528	Medio Alto	0,274	Bajo	0,453290107	0,557988329	0,527857681	0,274024312
Estación Central	13106	Metropolitana	219.897	0,594	0,228	0,544	Medio Alto	0,604	Alto	0,554	Medio Alto	0,474	Medio bajo	0,544315416	0,604360971	0,554376027	0,474209250
Huechuraba	13107	Metropolitana	117.121	0,75	0,186	0,571	Alto	0,574	Medio Alto	0,557	Medio Alto	0,581	Alto	0,570597672	0,574022398	0,557027862	0,580742755
Independencia	13108	Metropolitana	151.890	0,576	0,224	0,558	Alto	0,581	Alto	0,554	Medio Alto	0,539	Medio Alto	0,557908330	0,580520965	0,554376027	0,538827999
Santa María	05706	Valparaíso	16.827	0,6	0,198	0,454	Bajo	0,446	Medio bajo	0,422	Bajo	0,496	Medio bajo	0,454373104	0,445538200	0,421784296	0,495796817
La Cisterna	13109	Metropolitana	101.377	0,66	0,135	0,555	Medio Alto	0,698	Alto	0,528	Medio Alto	0,438	Bajo	0,554639585	0,697876053	0,527857681	0,438185021
La Florida	13110	Metropolitana	406.796	0,701	0,132	0,56	Alto	0,648	Alto	0,615	Alto	0,415	Bajo	0,559572496	0,648260392	0,615368223	0,415088872
